# MPPT Simulator - 模擬結果匯出
# 日照強度(W/m2),1000
# 溫度(degC),25
# Vmpp(V),0.452763,Impp(A),1.48615,Pmpp(W),0.672873,FF,0.250455,eta(%),6.72873
#
Voltage(V),Current(A),Power(W)
0.000000,2.966903,0.000000
0.003018,2.957055,0.008926
0.006037,2.947206,0.017792
0.009055,2.937358,0.026599
0.012074,2.927509,0.035346
0.015092,2.917659,0.044034
0.018111,2.907809,0.052662
0.021129,2.897959,0.061231
0.024147,2.888109,0.069740
0.027166,2.878258,0.078190
0.030184,2.868406,0.086580
0.033203,2.858555,0.094911
0.036221,2.848703,0.103183
0.039239,2.838850,0.111395
0.042258,2.828998,0.119547
0.045276,2.819145,0.127640
0.048295,2.809291,0.135674
0.051313,2.799437,0.143648
0.054332,2.789583,0.151562
0.057350,2.779729,0.159417
0.060368,2.769874,0.167213
0.063387,2.760019,0.174949
0.066405,2.750163,0.182625
0.069424,2.740307,0.190242
0.072442,2.730451,0.197799
0.075460,2.720595,0.205297
0.078479,2.710738,0.212736
0.081497,2.700880,0.220114
0.084516,2.691023,0.227434
0.087534,2.681165,0.234693
0.090553,2.671307,0.241894
0.093571,2.661448,0.249034
0.096589,2.651589,0.256115
0.099608,2.641730,0.263137
0.102626,2.631870,0.270099
0.105645,2.622010,0.277001
0.108663,2.612150,0.283844
0.111681,2.602289,0.290628
0.114700,2.592429,0.297351
0.117718,2.582567,0.304015
0.120737,2.572706,0.310620
0.123755,2.562844,0.317165
0.126774,2.552982,0.323651
0.129792,2.543119,0.330076
0.132810,2.533256,0.336443
0.135829,2.523393,0.342749
0.138847,2.513529,0.348997
0.141866,2.503666,0.355184
0.144884,2.493801,0.361312
0.147902,2.483937,0.367380
0.150921,2.474072,0.373389
0.153939,2.464207,0.379338
0.156958,2.454342,0.385228
0.159976,2.444476,0.391058
0.162995,2.434610,0.396828
0.166013,2.424744,0.402539
0.169031,2.414877,0.408190
0.172050,2.405010,0.413782
0.175068,2.395143,0.419313
0.178087,2.385275,0.424786
0.181105,2.375407,0.430198
0.184124,2.365539,0.435551
0.187142,2.355670,0.440845
0.190160,2.345802,0.446078
0.193179,2.335932,0.451253
0.196197,2.326063,0.456367
0.199216,2.316193,0.461422
0.202234,2.306323,0.466417
0.205252,2.296453,0.471353
0.208271,2.286582,0.476228
0.211289,2.276711,0.481045
0.214308,2.266840,0.485801
0.217326,2.256969,0.490498
0.220345,2.247097,0.495136
0.223363,2.237225,0.499713
0.226381,2.227353,0.504231
0.229400,2.217480,0.508689
0.232418,2.207607,0.513088
0.235437,2.197734,0.517427
0.238455,2.187860,0.521706
0.241473,2.177986,0.525926
0.244492,2.168112,0.530086
0.247510,2.158238,0.534186
0.250529,2.148363,0.538227
0.253547,2.138488,0.542207
0.256566,2.128613,0.546129
0.259584,2.118737,0.549990
0.262602,2.108861,0.553792
0.265621,2.098985,0.557534
0.268639,2.089109,0.561217
0.271658,2.079232,0.564839
